Front;Back
bad;плохой
become;становиться
cathedral;собор
civil servant;госслужащий
clinic;клиника
clothes;одежда
company;компания
department;отдел
designer;дизайнер
different;разный
enjoy;наслаждаться
free time;свободное время
get up;вставать
go out;выходить в свет
go to bed;ложиться спать
great;великолепный
home;дом
interesting;интересный
job;работа
journalist;журналист
language;язык
like;нравиться
live;жить
local;местный
long hours;сверхурочная работа
money;деньги
newspaper;газета
nice;милый
night;ночь
people;люди
police station;полицейский участок
sleep;спать
speak;разговаривать
studio;студия
tax;налог
want;хотеть
workplace;рабочее место
difference between;разница между
at home;дома
be interested in;быть заинтересованным в
speak to someone;разговаривать с
